id,ca,de,en,es,fr,pl,pt
STATUS_CONNECTED_TO_SERVER,Connexió al servidor amb èxit.,Erfolgreich mit dem Server verbunden.,Successfully connected to the server.,Conexión al servidor exitosa.,Connexion au serveur réussie.,Pomyślnie połączono z serwerem.,Conectado com sucesso ao servidor.
STATUS_CONNECTING_TO_SERVER,Connectant amb el servidor.,Verbinde mit dem Server.,Connecting to the server.,Conectando con el servidor.,Connection au serveur.,Łączenie z serwerem.,Conectando ao servidor.
STATUS_CONNECTION_TO_SERVER_FAILED,Connexió al servidor fallida.,Die Verbindung zum Server ist fehlgeschlagen.,The connection to the server failed.,Conexión al servidor fallida.,Connexion au serveur échouée.,Połączenie z serwerem nie powiodło się.,A conexão com o servidor falhou.
STATUS_LOADING_AI,Carregant la IA :,KI wird geladen:,Loading AI :,Cargando la IA :,Chargement de l'IA :,Wczytywanie AI:,Carregando IA :
STATUS_LOADING_TRANSLATOR,Carregant el traductor.,Übersetzer wird geladen,Loading the translator.,Cargando el traductor.,Chargement du traducteur.,Wczytywanie tłumacza.,Carregando o tradutor.
STATUS_MODEL_LOADED,Model carregat.,Modell geladen.,Model loaded.,Modelo cargado.,Model chargé.,Model wczytany.,Modelo carregado.
STATUS_MOVING_FILES_TO_GAME,Movent els arxius a la carpeta del joc.,Dateien werden in den Ordner des Spiels verschoben.,Moving the files to the game's folder.,Moviendo los archivos a la carpeta del juego.,Déplacement des fichiers dans le dossier du jeu.,Przenoszenie plików do folderu gry.,Transferindo os arquivos para a pasta do jogo.
STATUS_STARTING_SERVER,Iniciant el servidor.,Server wird gestartet.,Starting the server.,Iniciando el servidor.,Démarrage du serveur.,Uruchamianie serwera.,Iniciando o servidor.
STATUS_TRANSLATOR_LOADED,Traductor carregat.,Übersetzer ist vollständig geladen,Translator loaded.,Traductor cargado.,Traducteur chargé.,Tłumacz wczytany,Tradutor carregado.
STORY_EDITOR_CHARACTER_EDITOR,Obrir l’editor de personatge,Charakter-Editor öffnen,Open character editor,Abrir el editor de personaje,Ouvrir l'éditeur de personnage,Otwórz edytor postaci,Abrir editor de personagem
STORY_EDITOR_OPEN_SCENARIO_FOLDER,Obrir la carpeta de l'escenari,Szenario-Ordner öffnen,Open scenario's folder,Abrir la carpeta del escenario,Ouvrir le dossiers des scénarios,Otwórz folder ze scenariuszami,Abrir pasta de cenário
STORY_EDITOR_OPEN_STORY,Obrir una història,Geschichte öffnen,Open a story,Abrir una historia,Ouvrir une histoire,Otwórz historię,Abrir uma história
STORY_EDITOR_OPEN_STORY_FOLDER,Obrir la carpeta de les històries,Ordner der Geschichte öffnen,Open stories' folder,Abrir la carpeta de las historias,Ouvrir le dossiers des histoires,Otwórz folder z historiami,Abrir pasta de histórias
STORY_EDITOR_TITLE,Editor d'Històries,Geschichten-Editor,Story Editor,Editor de Historias,Éditeur d'Histoire,Edytor Historii,Editor de história
STRENGTH,Força,Stärke,Strength,Fuerza,Force,Siła,Força
SUCCESS_UPLOAD_TO_WORKSHOP,,Erfolgreich in den Workshop hochgeladen!,Successfully uploaded to the Workshop.,,Envoyé avec succès dans le Workshop.,Pomyślnie przesłano do Warsztatu,
TAG_1ST_PERSON,,Ich-Perspektive,1st Person,,1ère Personne,Pierwszoosobowy,
TAG_2ND_PERSON,,Du-Perspektive,2nd Person,,2ème Personne,Drugoosobowy,
TAG_ADVENTURE,,Abenteuer,Adventure,,Aventure,Przygoda,
TAG_CYBERPUNK,,Cyberpunk,Cyberpunk,,Cyberpunk,Cyberpunk,
TAG_DARK,,Düster,Dark,,Sombre,Ciemność,
TAG_DYSTOPIAN,,Dystopisch,Dystopian,,Dystopique,Dystopia,
TAG_FANTASY,,Fantasy,Fantasy,,Fantaisie,Fantastyka,
TAG_FEMALE_PROTAGONIST,,weibliche Protagonistin,Female Protagonist,,Protagoniste Féminine,Żeński Protagonista,
TAG_HISTORICAL,,Historisch,Historical,,Historique,Historyczne,
TAG_HORROR,,Horror,Horror,,Horreur,Horror,
TAG_LGBTQ,,LGBTQ,LGBTQ+,,LGBTQ+,LGBTQ+,
TAG_LOREBOOK_INCLUDED,,Enthält Lorebook,Lorebook Included,,Encyclopédie Incluse,Zawiera Księgę wiedzy,
TAG_MALE_PROTAGONIST,,Männlicher Protagonist,Male Protagonist,,Protagoniste Masculin,Męski Protagonista,
TAG_MEDIEVAL,,Mittelalter,Medieval,,Médiéval,Średniowiecze,
TAG_MODERN_ERA,,Moderne Ära,Modern Era,,Époque Moderne,Epoka Nowożytna,
TAG_MYSTERY,,Geheimnisvoll,Mystery,,Mystère,Tajemnica,
TAG_PIRATE,,Piraten,Pirate,,Pirate,Pirat,
TAG_POST_APOCALYPTIC,,Post Apokalyptisch,Post-Apocalyptic,,Post-apocalyptique,Post-Apokalipsa,
TAG_ROMANCE,,Romantisch,Romance,,Romance,Romans,
TAG_SCIENCE_FICTION,,Science Fiction,Science Fiction,,Science Fiction,Science Fiction,
TAG_STEAMPUNK,,Steampunk,Steampunk,,Steampunk,Steampunk,
TAG_THRILLER,,Thriller,Thriller,,Thriller,Thriller,
TAG_UPLIFTING,,Aufbauend,Uplifting,,Exaltant,Podnoszący na duchu,
TAG_WILD_WEST,,Wilder Westen,Wild West,,Far West,Dziki Zachód,
TAG_ZOMBIE,,Zombie,Zombie,,Zombie,Zombie,
TOOLTIP_LABEL,Posa el cursor sobre els noms dels models per mostrar una descripció emergent.,"Bewegen Sie den Mauszeiger über die Namen der Modelle, um zusätzliche Informationen zu erhalten.",Hover the models' names to display the tooltip,Coloca el cursor sobre los nombres de los modelos para mostrar una descripción emergente.,Placez le curseur sur les noms des modèles pour afficher l'infobulle,Najedź na nazwy modeli aby wyświetlić wskazówki,Passe o mouse no nome do modelo para mostrar a dica
TOP_K_HINT,"Les següents K paraules més probables són filtrades i la massa de probabilitat es redistribueix, únicament, entre aquestes K paraules següents. Posar a 0 per deshabilitar-ho.","Die K wahrscheinlichsten nächsten Wörter werden gefiltert und die Wahrscheinlichkeitsmasse wird nur unter diesen K nächsten Wörtern neu verteilt.
Auf 0 setzen, um sie zu deaktivieren.","The K most likely next words are filtered and the probability mass is redistributed
among only those K next words.
Set to 0 to disable it.","Las siguientes K palabras más probables son filtradas y la masa de probabilidad se redistribuye, únicamente, entre esas K palabras siguientes. Poner a 0 para deshabilitarlo.","Les mots suivants K les plus probables sont filtrés
et la masse de probabilité est redistribuée
parmi les seuls K mots suivants.
Mettre à 0 pour le désactiver.","K bardzo prawdopodobne, że następne słowa są filtrowane i wartość prawdopodobieństwa
jest rozdzielona podzielona tylko pomiędzy tych K następnych wyrazów.
Ustaw na 0 aby wyłączyć.","As K próximas palavras são filtradas e a massa de probabilidade redistribuída 
entre essas K próxima palavras.
Deixe em 0 para desabilitar."
TOP_P_HINT,"Tria d’entre el conjunt de paraules més petit possible, la probabilitat acumulada del qual superi la probabilitat p.
Llavors, la massa de probabilitat es redistribuirà entre aquest conjunt de paraules.
Si el valor es < 1, només es conservaran els tokens amb més probabilitats de sumar a top_p, per la generació.
Posar a 0 per desactivar-ho.","Wählt aus der kleinstmöglichen Menge von Wörtern aus, deren kumulative Wahrscheinlichkeit die Wahrscheinlichkeit p übersteigt.
Die Wahrscheinlichkeitsmasse wird dann unter dieser Menge von Wörtern neu verteilt.
Wenn auf < 1 gesetzt, werden nur die wahrscheinlichsten Token, deren Wahrscheinlichkeitssumme top_p oder höher ist,  für die nächste Generation behalten.
Zum Ausschalten auf 0 setzen.","Chooses from the smallest possible set of words whose cumulative probability exceeds the probability p.
The probability mass is then redistributed among this set of words.
If set to < 1, only the most probable tokens with probabilities that
add up to top_p or higher are kept for generation.
Set to 0 to disable it.","Elige de entre el conjunto de palabras más pequeño posible, cuya probabilidad acumulada supere la probabilidad p.
Entonces, la masa de probabilidad se redistribuirá entre este conjunto de palabras.
Si el valor es < 1, solo se conservarán los tokens con más probabilidades de que le sumen a top_p, para la generación.
Poner a 0 para desactivarlo.","Choisit les plus petit ensemble possible de mots dont le cumul
de probabilité dépasse la probabilité p.
La masse de probabilité est ensuite redistribuée parmi cet ensemble de mots.
Si la valeur est < 1, seuls les jetons les plus probables avec des
probabilités qui s'additionnent jusqu’à top_p ou plus sont conservées pour la génération.
Mettre à 0 pour le désactiver.","Wybierz z jak najmniejszego zestawu wyrazów których skumulowane prawdopodobieństwo przekracza prawdopodobieństwo p.
Wartość prawdopodobieństwa jest wtedy rozdzielona pomiędzy ten zestaw wyrazów.
Jeśli ustawione na mniejsze niż 1, tylko najbardziej prawdopodobne
tokeny z szansą aby dostać się do top_p są zachowywane do generacji.
Ustaw 0 aby wyłączyć.","Escolhe o menor tamanho de um conjunto de palavras as quais a probabilidade cumulativa excede a probabilidade p.
A massa da probabilidade é então redistribuída entre esse conjunto de palavras.
Se deixar < 1, apenas os tokens mais prováveis com probabilidades que somam até top_p ou maior são mantidas para geração.
Deixe em 0 para desabilitar."
TRANSLATE_SCENARIO_INFO,Sembla que aquest escenari és en anglès. Vols que el joc el tradueixi al teu idioma?,"Dieses Szenario scheint Englisch zu sein. Möchten Sie, dass das Spiel dieses Szenario auf Ihre Sprache übersetzt?",This scenario seems to be in English. Do you want the game to translate the scenario to your language?,Parece que este escenario está en inglés. ¿Quieres que el juego lo traduzca a tu idioma?,Ce scénario semble être en anglais. Voulez-vous que le jeu traduise le scénario dans votre langue?,"Wygląda na to, że ten scenariusz jest po angielsku. Czy chcesz go przetłumaczyć na polski?",Esse cenário parece estar em inglês. Você quer que o jogo traduza automaticamente para sua língua?
TYPE_OF_FILE,,Dateityp,Type of file,,Type de fichier,Typ pliku,
UPDATE_CONTENT,,Inhalt aktualisieren,Update content,,Mettre à jour du contenu,Zaktualizuj zawartość,
UPLOAD_TO_WORKSHOP,,In den Workshop hochladen,Upload to the Workshop,,Envoyer vers le Workshop,Prześlij do Warsztatu,
USE_GPU,Fer servir el GPU,GPU verwenden,Use the GPU,Usar el GPU,Utiliser le GPU,Używaj karty graficznej,Usar a GPU
USE_GPU_HINT,"Si s’activa, es farà servir la GPU en comptes de la CPU.
Això farà que la IA sigui més ràpida.
Consulta la llista de GPUs compatibles a “https://developer.nvidia.com/cuda-gpus”.","Falls aktiv, wird Ihre GPU anstelle Ihrer CPU verwendet.
Das macht die KI schneller.
Unter https://developer.nvidia.com/cuda-gpus finden Sie eine Liste kompatibler GPUs.","If enabled, your GPU will be used instead of your CPU.
It will make the AI faster.
Check https://developer.nvidia.com/cuda-gpus for the list of compatible GPU.","Si se activa, se usará la GPU en vez de la CPU.
Eso hará que la IA sea más rápida.
Consulta la lista de GPUs compatibles en “https://developer.nvidia.com/cuda-gpus”.","S'il est activé, votre GPU sera utilisé à la place de votre CPU.
Cela accélérera l'IA. 
Consultez https://developer.nvidia.com/cuda-gpus pour la liste des GPU compatibles.","Jeśli włączone, twoja karta będzie używana zamiast procesora.
Uczyni to AI szybszym
Sprawdź https://developer.nvidia.com/cuda-gpus po listę wspieranych kart graficznych.","Se habilitado, sua GPU será usada ao invés a sua CPU.
Fará a IA mais rápida.
Verifique  https://developer.nvidia.com/cuda-gpus para uma lista de GPU compatíveis."
VALIDATE,Validar,Bestätigen,Validate,Validar,Valider,Zezwól,Valiar
VISIBILITY,,Sichtbarkeit,Visibility,,Visiblité,Widzialność,
WISDOM,Saviesa,Weisheit,Wisdom,Sabiduría,Sagesse,Mądrość,Sabedoria
WORKSHOP_UPLOAD_ACCEPT_DIALOG,,"Sind Sie sich sicher, das sie diesen Gegenstand hochladen möchten?",Are you sure you want to upload this item?,,Voulez-vous vraiment publier cet objet?,"Jesteś pewny, że chcesz przesłać ten przedmiot?",
WORKSHOP_UPLOAD_BUTTON_HINT,,"Um etwas in den Workshop hochzuladen, müssen Sie die Abonnentenbedingungen akzeptieren.
Außerdem müssen die folgenden Schritte erfüllt sein:
- Sichtbarkeit festlegen
- Sprache festlegen
- Einen Titel eintragen
- Eine Beschreibung hinzufügen
- Mindestens ein Tag auswählen","To upload on the workshop you must accept the Steam Subscriber Agreement.
You also need to complete the following:
- Specify a visibility
- Specify the language
- Write a title
- Write a description
- Select at least one tag",,"Pour publier sur le Workshop, vous devez accepter les conditions d'utilisation Steam. Vous devez également effectuer les opérations suivantes :
- Spécifier une visibilité
- Préciser la langue
- Écrire un titre
- Rédiger une description
- Sélectionnez au moins une balise","Aby przesłać do warsztatu musisz zaakceptować Umowę użytkownika Steam.
Musisz również spełniać podane wymagania:
- Wybierz widoczność
- Wybierz język
- Napisz tytuł
- Napisz opis
- Wybierz przynajmniej jeden tag",
WRONG_FONT_WARNING,,,"The font you are using might not correctly display the language you selected.
Do you want to use the recommended font?",,"La police que vous utilisez risque de ne pas pouvoir afficher la langue que vous avez sélectionnée.
Voulez-vous utiliser la police recommandée?","Czcionka której używasz może nie być kompatybilna z językiem który wybrałeś.
Czy chcesz użyć polecanej czcionki?",
YES,Sí,Ja,Yes,Sí,Oui,Tak,Sim
YOUR_ITEMS,,Deine Gegenstände,Your items,,Vos objets,Twoje przedmioty,
